Iteration,AgentId,Age,IsAlive,NumberOfDO,Income,Expenses,Savings
1,HM6,14,True,2,500,0,10000
2,HM6,15,True,4,500,0,26300
3,HM6,16,True,4,500,0,42600
4,HM6,17,True,4,500,0,58900
5,HM6,18,True,4,16000,0,75200
6,HM6,19,True,5,32000,0,107000
7,HM6,20,True,5,32000,0,202800
8,HM6,21,True,5,32000,0,298600
9,HM6,22,True,5,32000,0,394400
10,HM6,23,True,5,32000,0,490200
