Iteration,AgentId,Age,IsAlive,NumberOfDO,Income,Expenses,Savings
1,HM4,40,True,6,16000,2000,10000
2,HM4,41,True,6,16000,2000,26300
3,HM4,42,True,6,16000,2000,42600
4,HM4,43,True,6,16000,2000,58900
5,HM4,44,True,6,16000,2000,75200
6,HM4,45,True,7,32000,2000,107000
7,HM4,46,True,7,32000,2000,202800
8,HM4,47,True,7,32000,2000,298600
9,HM4,48,True,7,32000,2000,394400
10,HM4,49,True,7,32000,2000,490200
