Iteration,AgentId,Age,IsAlive,NumberOfDO,Income,Expenses,Savings
1,HM7,50,True,6,1800,0,10000
2,HM7,51,True,6,1800,0,26300
3,HM7,52,True,6,1800,0,42600
4,HM7,53,True,6,1800,0,58900
5,HM7,54,True,6,1800,0,75200
6,HM7,55,True,7,1800,0,107000
7,HM7,56,True,7,1800,0,202800
8,HM7,57,True,7,1800,0,298600
9,HM7,58,True,7,1800,0,394400
10,HM7,59,True,7,1800,0,490200
