Iteration,AgentId,Age,IsAlive,NumberOfDO,Income,Expenses,Savings
1,HM2,30,True,6,32000,0,100000
2,HM2,31,True,6,32000,0,162000
3,HM2,32,True,6,32000,0,224000
4,HM2,33,True,6,32000,0,286000
5,HM2,34,True,6,32000,0,348000
6,HM2,35,True,6,32000,0,410000
7,HM2,36,True,6,32000,0,472000
8,HM2,37,True,6,32000,0,534000
9,HM2,38,True,6,32000,0,596000
10,HM2,39,True,6,32000,0,658000
