Iteration,AgentId,Age,IsAlive,NumberOfDO,Income,Expenses,Savings
1,HM5,35,True,6,0,0,10000
2,HM5,36,True,7,0,0,26300
3,HM5,37,True,7,0,0,42600
4,HM5,38,True,7,0,0,58900
5,HM5,39,True,7,0,0,75200
6,HM5,40,True,7,32000,0,107000
7,HM5,41,True,7,32000,0,202800
8,HM5,42,True,7,32000,0,298600
9,HM5,43,True,7,32000,0,394400
10,HM5,44,True,7,32000,0,490200
